log,TrainLoss,TrainLossRelative,TestLoss,TestLossRelative,TestLoss2,TestLoss2Relative,TestLoss3,TestLoss3Relative
biochemical_community_NDCN_D0.txt,0.310587,0.052032,0.488087,0.112918,0.327264,0.058869,442.077515,116.787231
biochemical_community_NDCN_D1.txt,0.333793,0.051771,0.349123,0.081207,0.333451,0.051106,543.476501,143.600464
biochemical_community_NDCN_D2.txt,0.348729,0.051622,0.659262,0.150332,0.39137,0.058473,556.67041,149.288055
biochemical_community_NDCN_D3.txt,0.31756,0.053942,0.363817,0.086203,0.268473,0.046249,302.276459,81.431847
biochemical_community_NDCN_D4.txt,0.292411,0.046913,0.525265,0.120413,0.293446,0.047906,221.552872,58.468983
biochemical_community_NDCN_D5.txt,0.294423,0.047306,0.44553,0.100839,0.324991,0.0501,98.912819,25.994253
biochemical_community_NDCN_D6.txt,0.30958,0.046511,0.492227,0.114459,0.265228,0.047051,357.915192,95.017326
biochemical_community_NDCN_D7.txt,0.332713,0.049419,0.490672,0.10735,0.346746,0.053159,482.73703,125.626869
biochemical_community_NDCN_D8.txt,0.349156,0.054706,0.412645,0.091492,0.387509,0.064239,152.889755,39.142994
biochemical_community_NDCN_D9.txt,0.337802,0.052785,0.44048,0.102684,0.306091,0.049716,657.220276,177.033371
biochemical_community_NDCN__mean,0.3226754,0.0507007,0.4667108,0.1067897,0.3244569,0.0526868,381.5728829,101.2391393
biochemical_community_NDCN__std,0.019725869,0.002823587,0.08405982,0.018822296,0.041206838,0.005652041,176.4639067,47.39462041
biochemical_community_NDCN__mean,0.323,0.051,0.467,0.107,0.324,0.053,381.573,101.239
biochemical_community_NDCN__std,0.02,0.003,0.084,0.019,0.041,0.006,176.464,47.395
biochemical_community_NDCN__mean_std,0.323+0.02,0.051+0.003,0.467+0.084,0.107+0.019,0.324+0.041,0.053+0.006,381.573+176.464,101.239+47.395
,,,,,,,,
biochemical_grid_NDCN_D0.txt,0.30002,0.061259,0.317903,0.094305,0.263825,0.052747,878.127563,282.155304
biochemical_grid_NDCN_D1.txt,0.32717,0.06067,0.386055,0.113743,0.342937,0.062035,324.667633,104.320763
biochemical_grid_NDCN_D2.txt,0.271865,0.051208,0.377311,0.111463,0.336834,0.05798,55.965485,17.982597
biochemical_grid_NDCN_D3.txt,0.308077,0.057349,0.486153,0.142619,0.310349,0.057875,174.206284,55.974915
biochemical_grid_NDCN_D4.txt,0.348046,0.060683,0.453537,0.133504,0.339858,0.060709,80.962234,26.014383
biochemical_grid_NDCN_D5.txt,0.307599,0.05817,0.507259,0.148949,0.392911,0.077163,2609.064697,838.333618
biochemical_grid_NDCN_D6.txt,0.307599,0.05817,0.507259,0.148949,0.392911,0.077163,2609.064697,838.333618
biochemical_grid_NDCN_D7.txt,0.325979,0.061626,0.433791,0.127683,0.25877,0.055506,816.967041,262.504608
biochemical_grid_NDCN_D8.txt,0.33751,0.062889,0.413007,0.121395,0.327591,0.062146,381.321014,122.524239
biochemical_grid_NDCN_D9.txt,0.306916,0.056698,0.349754,0.102703,0.273815,0.053287,516.911438,166.093155
biochemical_grid_NDCN__mean,0.3140781,0.0588722,0.4232029,0.1245313,0.3239801,0.0616611,844.7258086,271.42372
biochemical_grid_NDCN__std,0.020412603,0.003204675,0.062608814,0.018158094,0.045679326,0.008350187,920.6199272,295.8096849
biochemical_grid_NDCN__mean,0.314,0.059,0.423,0.125,0.324,0.062,844.726,271.424
biochemical_grid_NDCN__std,0.02,0.003,0.063,0.018,0.046,0.008,920.62,295.81
biochemical_grid_NDCN__mean_std,0.314+0.02,0.059+0.003,0.423+0.063,0.125+0.018,0.324+0.046,0.062+0.008,844.726+920.62,271.424+295.81
,,,,,,,,
biochemical_power_law_NDCN_D0.txt,0.326222,0.059407,0.572741,0.138623,0.327795,0.060863,560.051514,156.634613
biochemical_power_law_NDCN_D1.txt,0.337716,0.057106,0.474077,0.110549,0.403252,0.068679,147.63179,41.030449
biochemical_power_law_NDCN_D2.txt,0.349863,0.05347,0.52179,0.125384,0.330824,0.055267,204.523285,57.794506
biochemical_power_law_NDCN_D3.txt,0.342077,0.056742,0.380357,0.089852,0.28887,0.052489,368.276581,103.522049
biochemical_power_law_NDCN_D4.txt,0.326205,0.053982,0.4387,0.103127,0.321634,0.058197,146.089752,40.493
biochemical_power_law_NDCN_D5.txt,0.341919,0.059183,0.59839,0.145407,0.328123,0.063786,138.942322,39.005398
biochemical_power_law_NDCN_D6.txt,0.30213,0.050232,0.337722,0.08036,0.263614,0.046516,94.614792,26.589441
biochemical_power_law_NDCN_D7.txt,0.291229,0.051951,0.44791,0.104926,0.344616,0.061508,105.453239,29.741171
biochemical_power_law_NDCN_D8.txt,0.319919,0.054136,0.535034,0.130232,0.394638,0.06325,299.588867,84.703979
biochemical_power_law_NDCN_D9.txt,0.330087,0.055991,0.60535,0.142954,0.298413,0.05159,284.049164,79.452766
biochemical_power_law_NDCN__mean,0.3267367,0.05522,0.4912071,0.1171414,0.3301779,0.0582145,234.9221306,65.8967372
